index,category,uid,glb_mb,usd_mb,seconds,meshes,triangles,ok,error
1,bus_shelter,367bdb5ca8c745978410c6e3ffd9b910,6.974,7.133,0.175,1,8250,True,
2,car,d6d60d1107574e619885b0651a3097cc,20.41,42.885,0.444,1,612611,True,
3,trash_bin,0c05c890dc3c4fd7a741389f10f0191e,2.64,2.646,0.138,1,180,True,
4,vegetation,2e2fb34eb51a400c8dac8fdc55b5e6bc,129.583,270.672,2.501,1,2561229,True,
5,advertising_board,3fe738210e2a4562b7e3981ccec206e0,2.262,2.266,0.12,1,232,True,
6,bicycle,2fb82988dfd0495aa3b4b62cb377bbfb,26.933,52.527,0.47,1,731181,True,
7,building,0f461ea81f8541db8d6a5f5e35133588,1.259,1.256,0.118,1,695,True,
8,bus_shelter,ccf5a5e803d041c4b8dde747cbfea088,3.03,3.053,0.126,1,3356,True,
9,car,eea2763894544966b76463b0923266c0,3.495,3.809,0.129,1,16854,True,
10,trash_bin,0debf0ba50304951b32b44c7578468dd,3.419,4.082,0.125,1,18908,True,
11,vegetation,4c221681ee9c48c897bc48a209cd060c,1.149,1.328,0.12,1,9184,True,
12,advertising_board,69b45f0048984a1d8073be4c76512c3b,0.443,0.542,0.128,1,2908,True,
13,bicycle,6f0e8b216aa24776a8ea7a859afa980c,1.848,1.889,0.12,1,1682,True,
14,building,1c7852fb8e5e4765992dd0ce724da3b5,2.763,2.771,0.124,1,1124,True,
15,bus_shelter,e79f70d2e8494f55a1982bb75ab507e4,6.089,6.081,0.134,1,778,True,
16,car,fb6d1d75fdda4e52b2bcd5201f945302,16.568,21.855,1.556,1,284807,True,
17,trash_bin,0f1b5d0f8f1d49548580d0722552c0d1,4.441,5.534,0.146,1,36432,True,
18,vegetation,4cd243eb74c74b3ea2190ebcec0439fb,1.909,1.928,0.13,1,778,True,
19,advertising_board,dc09459f51a74c1a942a1c8954fa3376,0.928,0.93,0.141,1,744,True,
20,bicycle,9b33a764a7d8490aa36245e0309adbdb,16.071,20.982,0.226,1,171610,True,
21,building,3e51037958b64727a4679ac806e56d86,3.336,3.352,0.139,1,740,True,
22,trash_bin,1aba5376ea5c43ec84d01b9c0f713ee3,3.038,3.059,0.14,1,1136,True,
23,trash_bin,1d5c4063c22a4d00aac4ee3613382322,0.927,0.939,0.137,1,466,True,
