index,category,uid,glb_mb,usd_mb,seconds,meshes,triangles,ok,error
1,advertising_board,0a4cd8e975884115bfb62b5fc0d72f09,5.639,5.641,0.165,1,132,True,
2,bicycle,29b644ad4b6d4d4a92bb5f61766f669c,28.456,39.088,0.357,1,470427,True,
3,building,0ddfb394990b451ca4a3898136b3f081,20.712,20.723,0.155,1,4504,True,
4,bus_shelter,2e70b93124bf4d0fa6dde30bce7eae91,2.851,3.107,0.143,1,9362,True,
5,car,72f36689982a4066b4382a7c2b5ecaa4,27.539,37.893,0.239,1,149830,True,
6,trash_bin,0a97a6e5c2894bfba2d347d333756b0e,6.508,6.828,0.149,1,17860,True,
7,vegetation,063592d61b744c1d9c328d5ab12ddfea,0.075,0.079,0.126,1,200,True,
8,advertising_board,30c189316d6e40869858aa663166900c,0.415,0.421,0.128,1,168,True,
9,bicycle,2ab5366e15004347a4ca556c52ea5fb0,15.482,31.958,0.224,1,220943,True,
10,building,0e69cb333eca4b278bf585a9cd1bf798,21.73,28.706,0.371,1,295271,True,
